study_case;scenario;building;consumption_total_kwh;pv_generation_total_kwh;pv_used_directly_kwh;battery_capacity_kwh;battery_initial_soc_kwh;battery_final_soc_kwh;battery_min_soc_kwh;battery_charge_input_total_kwh;battery_charge_total_kwh;battery_discharge_total_kwh;battery_losses_total_kwh;grid_import_total_kwh;grid_export_total_kwh;peak_grid_import_kw;avg_battery_soc_kwh;energy_purchase_cost_eur;export_revenue_eur;energy_cost_eur;terminal_soc_difference_kwh;pv_self_consumption_kwh;pv_self_consumption_rate_pct
Caso base;Sin control;Edificio A;45,22;26,4;17,27;10,0;2,0;2,0;2,0;0,0;0,0;0,0;0,0;27,95;9,13;3,51;2,0;6,04;0,57;5,47;0,0;17,27;65,42
Caso base;Sin control;Edificio B;44,51;26,4;17,62;8,0;1,6;1,6;1,6;0,0;0,0;0,0;0,0;26,89;8,78;3,39;1,6;5,87;0,55;5,31;0,0;17,62;66,74
Caso base;Reglas;Edificio A;45,22;26,4;17,27;10,0;2,0;2,0;2,0;8,42;8,0;7,6;0,82;20,35;0,71;2,63;3,99;3,92;0,05;3,86;0,0;25,69;97,32
Caso base;Reglas;Edificio B;44,51;26,4;17,62;8,0;1,6;1,6;1,6;6,74;6,4;6,08;0,66;20,81;2,04;3,12;3,2;4,16;0,14;4,03;0,0;24,36;92,26
Caso base;Reglas + decision avanzada;Edificio A;45,22;26,4;17,27;10,0;2,0;2,0;2,0;8,42;8,0;7,6;0,82;20,35;0,71;2,63;3,99;3,92;0,05;3,86;0,0;25,69;97,32
Caso base;Reglas + decision avanzada;Edificio B;44,51;26,4;17,62;8,0;1,6;1,6;1,6;6,74;6,4;6,08;0,66;20,81;2,04;3,12;3,2;4,16;0,14;4,03;0,0;24,36;92,26
Alta demanda;Sin control;Edificio A;54,26;26,4;19,89;10,0;2,0;2,0;2,0;0,0;0,0;0,0;0,0;34,37;6,51;4,21;2,0;7,45;0,4;7,05;0,0;19,89;75,33
Alta demanda;Sin control;Edificio B;53,41;26,4;20,3;8,0;1,6;1,6;1,6;0,0;0,0;0,0;0,0;33,1;6,1;4,07;1,6;7,23;0,37;6,86;0,0;20,3;76,91
Alta demanda;Reglas;Edificio A;54,26;26,4;19,89;10,0;2,0;2,0;2,0;6,51;6,19;5,88;0,64;28,5;0,0;3,94;3,35;5,84;0,0;5,84;0,0;26,4;100,0
Alta demanda;Reglas;Edificio B;53,41;26,4;20,3;8,0;1,6;1,6;1,6;6,1;5,79;5,5;0,59;27,6;0,0;3,84;2,86;5,73;0,0;5,73;0,0;26,4;100,0
