study_case;scenario;consumption_total_kwh;pv_generation_total_kwh;pv_used_directly_kwh;battery_charge_input_total_kwh;battery_charge_total_kwh;battery_discharge_total_kwh;battery_losses_total_kwh;grid_import_total_kwh;grid_export_total_kwh;energy_purchase_cost_eur;export_revenue_eur;energy_cost_eur;peak_grid_import_kw;battery_capacity_kwh;battery_initial_soc_kwh;battery_final_soc_kwh;battery_min_soc_kwh;terminal_soc_difference_kwh;pv_self_consumption_kwh;pv_self_consumption_rate_pct;grid_import_reduction_pct;cost_reduction_pct;peak_grid_import_reduction_pct
Caso base;Sin control;89,72;52,8;34,89;0,0;0,0;0,0;0,0;54,83;17,91;11,91;1,13;10,78;6,89;18,0;3,6;3,6;3,6;0,0;34,89;66,08;0,0;0,0;0,0
Caso base;Reglas;89,72;52,8;34,89;15,16;14,4;13,68;1,48;41,15;2,75;8,08;0,19;7,89;5,3;18,0;3,6;3,6;3,6;0,0;50,05;94,79;24,95;26,83;23,08
Caso base;Reglas + decision avanzada;89,72;52,8;34,89;15,16;14,4;13,68;1,48;41,15;2,75;8,08;0,19;7,89;5,3;18,0;3,6;3,6;3,6;0,0;50,05;94,79;24,95;26,83;23,08
Alta demanda;Sin control;107,67;52,8;40,19;0,0;0,0;0,0;0,0;67,48;12,61;14,68;0,77;13,91;8,27;18,0;3,6;3,6;3,6;0,0;40,19;76,12;0,0;0,0;0,0
Alta demanda;Reglas;107,67;52,8;40,19;12,61;11,98;11,38;1,23;56,1;0,0;11,58;0,0;11,58;7,79;18,0;3,6;3,6;3,6;0,0;52,8;100,0;16,86;16,77;5,88
Alta demanda;Reglas + decision avanzada;107,67;52,8;40,19;12,61;11,98;11,38;1,23;56,1;0,0;11,58;0,0;11,58;7,79;18,0;3,6;3,6;3,6;0,0;52,8;100,0;16,86;16,77;5,88
Baja irradiacion;Sin control;89,72;34,32;30,28;0,0;0,0;0,0;0,0;59,44;4,04;12,92;0,24;12,68;6,89;18,0;3,6;3,6;3,6;0,0;30,28;88,23;0,0;0,0;0,0
Baja irradiacion;Reglas;89,72;34,32;30,28;4,04;3,84;3,65;0,39;55,8;0,0;12,04;0,0;12,04;6,89;18,0;3,6;3,6;3,6;0,0;34,32;100,0;6,13;5,06;0,0
Baja irradiacion;Reglas + decision avanzada;89,72;34,32;30,28;4,04;3,84;3,65;0,39;55,8;0,0;12,04;0,0;12,04;6,89;18,0;3,6;3,6;3,6;0,0;34,32;100,0;6,13;5,06;0,0
Precios elevados;Sin control;89,72;52,8;34,89;0,0;0,0;0,0;0,0;54,83;17,91;14,89;1,41;13,48;6,89;18,0;3,6;3,6;3,6;0,0;34,89;66,08;0,0;0,0;0,0
Precios elevados;Reglas;89,72;52,8;34,89;15,16;14,4;13,68;1,48;41,15;2,75;10,1;0,24;9,86;5,3;18,0;3,6;3,6;3,6;0,0;50,05;94,79;24,95;26,83;23,08
Precios elevados;Reglas + decision avanzada;89,72;52,8;34,89;15,16;14,4;13,68;1,48;41,15;2,75;10,1;0,24;9,86;5,3;18,0;3,6;3,6;3,6;0,0;50,05;94,79;24,95;26,83;23,08
Bateria ampliada;Sin control;89,72;52,8;34,89;0,0;0,0;0,0;0,0;54,83;17,91;11,91;1,13;10,78;6,89;27,0;5,4;5,4;5,4;0,0;34,89;66,08;0,0;0,0;0,0
Bateria ampliada;Reglas;89,72;52,8;34,89;17,91;17,01;16,16;1,75;38,67;0,0;7,36;0,0;7,36;5,3;27,0;5,4;5,4;5,4;0,0;52,8;100,0;29,48;31,69;23,08
Bateria ampliada;Reglas + decision avanzada;89,72;52,8;34,89;17,91;17,01;16,16;1,75;38,67;0,0;7,36;0,0;7,36;5,3;27,0;5,4;5,4;5,4;0,0;52,8;100,0;29,48;31,69;23,08
Estres combinado;Sin control;107,67;39,6;35,61;0,0;0,0;0,0;0,0;72,06;3,99;18,78;0,28;18,5;8,27;18,0;3,6;3,6;3,6;0,0;35,61;89,92;0,0;0,0;0,0
Estres combinado;Reglas;107,67;39,6;35,61;3,99;3,79;3,6;0,39;68,46;0,0;17,86;0,0;17,86;8,27;18,0;3,6;3,6;3,6;0,0;39,6;100,0;5,0;3,45;0,0
Estres combinado;Reglas + decision avanzada;107,67;39,6;35,61;3,99;3,79;3,6;0,39;68,46;0,0;17,76;0,0;17,76;8,27;18,0;3,6;3,6;3,6;0,0;39,6;100,0;5,0;3,97;0,0
