section;parameter;value;description
caso;study_case;Caso base;Perfiles sinteticos originales.
caso;description;Perfiles sinteticos originales.;
caso;consumption_scale;1.0;
caso;pv_scale;1.0;
caso;price_scale;1.0;
caso;battery_capacity_scale;1.0;
caso;battery_power_scale;1.0;
semillas;seed_Edificio A;1;
semillas;seed_Edificio B;2;
umbrales;rule_price_threshold_eur_kwh;0.2;
umbrales;advanced_price_percentile;70;
umbrales;peak_consumption_threshold_kwh;2.2;
bateria;min_soc_fraction;0.2;
bateria;charge_efficiency;0.95;
bateria;discharge_efficiency;0.95;
bateria;terminal_soc_tolerance_kwh;1e-06;
bateria;max_cyclic_days;20;
coste;export_price_factor;0.4;
Edificio A;battery_capacity_kwh;10.0;
Edificio A;battery_initial_soc_kwh;2.0;
Edificio A;battery_initial_soc_pct;20.0;
Edificio A;battery_min_soc_pct;20.0;
Edificio A;max_charge_power_kw;3.0;
Edificio A;max_discharge_power_kw;3.0;
Edificio B;battery_capacity_kwh;8.0;
Edificio B;battery_initial_soc_kwh;1.6;
Edificio B;battery_initial_soc_pct;20.0;
Edificio B;battery_min_soc_pct;20.0;
Edificio B;max_charge_power_kw;2.5;
Edificio B;max_discharge_power_kw;2.5;
caso;study_case;Alta demanda;Aumenta el consumo un 20 % para simular mayor actividad del edificio.
caso;description;Aumenta el consumo un 20 % para simular mayor actividad del edificio.;
caso;consumption_scale;1.2;
caso;pv_scale;1.0;
caso;price_scale;1.0;
caso;battery_capacity_scale;1.0;
caso;battery_power_scale;1.0;
semillas;seed_Edificio A;1;
semillas;seed_Edificio B;2;
umbrales;rule_price_threshold_eur_kwh;0.2;
umbrales;advanced_price_percentile;70;
umbrales;peak_consumption_threshold_kwh;2.2;
bateria;min_soc_fraction;0.2;
bateria;charge_efficiency;0.95;
bateria;discharge_efficiency;0.95;
bateria;terminal_soc_tolerance_kwh;1e-06;
bateria;max_cyclic_days;20;
coste;export_price_factor;0.4;
Edificio A;battery_capacity_kwh;10.0;
Edificio A;battery_initial_soc_kwh;2.0;
Edificio A;battery_initial_soc_pct;20.0;
Edificio A;battery_min_soc_pct;20.0;
Edificio A;max_charge_power_kw;3.0;
Edificio A;max_discharge_power_kw;3.0;
Edificio B;battery_capacity_kwh;8.0;
Edificio B;battery_initial_soc_kwh;1.6;
Edificio B;battery_initial_soc_pct;20.0;
Edificio B;battery_min_soc_pct;20.0;
Edificio B;max_charge_power_kw;2.5;
Edificio B;max_discharge_power_kw;2.5;
caso;study_case;Baja irradiacion;Reduce la generacion fotovoltaica un 35 %.
caso;description;Reduce la generacion fotovoltaica un 35 %.;
caso;consumption_scale;1.0;
caso;pv_scale;0.65;
caso;price_scale;1.0;
caso;battery_capacity_scale;1.0;
caso;battery_power_scale;1.0;
semillas;seed_Edificio A;1;
semillas;seed_Edificio B;2;
umbrales;rule_price_threshold_eur_kwh;0.2;
umbrales;advanced_price_percentile;70;
umbrales;peak_consumption_threshold_kwh;2.2;
bateria;min_soc_fraction;0.2;
bateria;charge_efficiency;0.95;
bateria;discharge_efficiency;0.95;
bateria;terminal_soc_tolerance_kwh;1e-06;
bateria;max_cyclic_days;20;
coste;export_price_factor;0.4;
Edificio A;battery_capacity_kwh;10.0;
Edificio A;battery_initial_soc_kwh;2.0;
Edificio A;battery_initial_soc_pct;20.0;
Edificio A;battery_min_soc_pct;20.0;
Edificio A;max_charge_power_kw;3.0;
Edificio A;max_discharge_power_kw;3.0;
Edificio B;battery_capacity_kwh;8.0;
Edificio B;battery_initial_soc_kwh;1.6;
Edificio B;battery_initial_soc_pct;20.0;
Edificio B;battery_min_soc_pct;20.0;
Edificio B;max_charge_power_kw;2.5;
Edificio B;max_discharge_power_kw;2.5;
caso;study_case;Precios elevados;Aumenta los precios electricos un 25 %.
caso;description;Aumenta los precios electricos un 25 %.;
caso;consumption_scale;1.0;
caso;pv_scale;1.0;
caso;price_scale;1.25;
caso;battery_capacity_scale;1.0;
caso;battery_power_scale;1.0;
semillas;seed_Edificio A;1;
semillas;seed_Edificio B;2;
umbrales;rule_price_threshold_eur_kwh;0.2;
umbrales;advanced_price_percentile;70;
umbrales;peak_consumption_threshold_kwh;2.2;
bateria;min_soc_fraction;0.2;
bateria;charge_efficiency;0.95;
bateria;discharge_efficiency;0.95;
bateria;terminal_soc_tolerance_kwh;1e-06;
bateria;max_cyclic_days;20;
coste;export_price_factor;0.4;
Edificio A;battery_capacity_kwh;10.0;
Edificio A;battery_initial_soc_kwh;2.0;
Edificio A;battery_initial_soc_pct;20.0;
Edificio A;battery_min_soc_pct;20.0;
Edificio A;max_charge_power_kw;3.0;
Edificio A;max_discharge_power_kw;3.0;
Edificio B;battery_capacity_kwh;8.0;
Edificio B;battery_initial_soc_kwh;1.6;
Edificio B;battery_initial_soc_pct;20.0;
Edificio B;battery_min_soc_pct;20.0;
Edificio B;max_charge_power_kw;2.5;
Edificio B;max_discharge_power_kw;2.5;
caso;study_case;Bateria ampliada;Aumenta capacidad y potencia de bateria un 50 %.
caso;description;Aumenta capacidad y potencia de bateria un 50 %.;
caso;consumption_scale;1.0;
caso;pv_scale;1.0;
caso;price_scale;1.0;
caso;battery_capacity_scale;1.5;
caso;battery_power_scale;1.5;
semillas;seed_Edificio A;1;
semillas;seed_Edificio B;2;
umbrales;rule_price_threshold_eur_kwh;0.2;
umbrales;advanced_price_percentile;70;
umbrales;peak_consumption_threshold_kwh;2.2;
bateria;min_soc_fraction;0.2;
bateria;charge_efficiency;0.95;
bateria;discharge_efficiency;0.95;
bateria;terminal_soc_tolerance_kwh;1e-06;
bateria;max_cyclic_days;20;
coste;export_price_factor;0.4;
Edificio A;battery_capacity_kwh;15.0;
Edificio A;battery_initial_soc_kwh;3.0;
Edificio A;battery_initial_soc_pct;20.0;
Edificio A;battery_min_soc_pct;20.0;
Edificio A;max_charge_power_kw;4.5;
Edificio A;max_discharge_power_kw;4.5;
Edificio B;battery_capacity_kwh;12.0;
Edificio B;battery_initial_soc_kwh;2.4000000000000004;
Edificio B;battery_initial_soc_pct;20.000000000000004;
Edificio B;battery_min_soc_pct;20.0;
Edificio B;max_charge_power_kw;3.75;
Edificio B;max_discharge_power_kw;3.75;
caso;study_case;Estres combinado;Mayor demanda, menor PV y precios mas altos.
caso;description;Mayor demanda, menor PV y precios mas altos.;
caso;consumption_scale;1.2;
caso;pv_scale;0.75;
caso;price_scale;1.2;
caso;battery_capacity_scale;1.0;
caso;battery_power_scale;1.0;
semillas;seed_Edificio A;1;
semillas;seed_Edificio B;2;
umbrales;rule_price_threshold_eur_kwh;0.2;
umbrales;advanced_price_percentile;70;
umbrales;peak_consumption_threshold_kwh;2.2;
bateria;min_soc_fraction;0.2;
bateria;charge_efficiency;0.95;
bateria;discharge_efficiency;0.95;
bateria;terminal_soc_tolerance_kwh;1e-06;
bateria;max_cyclic_days;20;
coste;export_price_factor;0.4;
Edificio A;battery_capacity_kwh;10.0;
Edificio A;battery_initial_soc_kwh;2.0;
Edificio A;battery_initial_soc_pct;20.0;
Edificio A;battery_min_soc_pct;20.0;
Edificio A;max_charge_power_kw;3.0;
Edificio A;max_discharge_power_kw;3.0;
Edificio B;battery_capacity_kwh;8.0;
Edificio B;battery_initial_soc_kwh;1.6;
Edificio B;battery_initial_soc_pct;20.0;
Edificio B;battery_min_soc_pct;20.0;
Edificio B;max_charge_power_kw;2.5;
Edificio B;max_discharge_power_kw;2.5;
