study_case;scenario;consumption_total_kwh;pv_generation_total_kwh;pv_used_directly_kwh;grid_import_total_kwh;grid_export_total_kwh;battery_charge_input_total_kwh;battery_charge_total_kwh;battery_discharge_total_kwh;battery_losses_total_kwh;energy_purchase_cost_eur;export_revenue_eur;energy_cost_eur;peak_grid_import_kw;battery_initial_soc_kwh;battery_final_soc_kwh;terminal_soc_difference_kwh;cycle_day;pv_self_consumption_kwh;pv_self_consumption_rate_pct;grid_import_reduction_pct;cost_reduction_pct;peak_grid_import_reduction_pct
Caso base;Sin control;89,7241769655812;52,8;34,89217557192547;54,83200139365572;17,90782442807453;0,0;0,0;0,0;0,0;11,908730132732225;1,1280405581770279;10,780689574555197;6,89415141961326;3,6;3,6;0,0;1;34,89217557192547;66,08366585591946;0,0;0,0;0,0
Caso base;Reglas;89,7241769655812;52,8;34,89217557192547;41,15200139365572;2,7499296912324227;15,157894736842106;14,4;13,68;1,4778947368421067;8,079297568134677;0,19137276965511024;7,887924798479568;5,30319093943201;3,6;3,6;0,0;1;50,05007030876757;94,79179982721132;24,94893429438603;26,832836212102716;23,076958763265708
Caso base;Reglas + decision avanzada;89,7241769655812;52,8;34,89217557192547;41,15200139365572;2,7499296912324227;15,157894736842106;14,4;13,68;1,4778947368421067;8,079297568134677;0,19137276965511024;7,887924798479568;5,30319093943201;3,6;3,6;0,0;1;50,05007030876757;94,79179982721132;24,94893429438603;26,832836212102716;23,076958763265708
Alta demanda;Sin control;107,66901235869743;52,8;40,19061068631056;67,47840167238687;12,609389313689437;0,0;0,0;0,0;0,0;14,68167615927867;0,7714086698124335;13,910267489466236;8,272981703535912;3,6;3,6;0,0;1;40,19061068631056;76,11858084528517;0,0;0,0;0,0
Alta demanda;Reglas;107,66901235869743;52,8;40,19061068631056;56,09842781678215;0,0;12,609389313689437;11,978919848004963;11,379973855604717;1,2294154580847212;11,576870362925952;0,0;11,576870362925952;7,786531283644046;3,6;3,6;0,0;1;52,8;100,0;16,864616786353974;16,77463879330347;5,879989069526825
Alta demanda;Reglas + decision avanzada;107,66901235869743;52,8;40,19061068631056;56,09842781678215;0,0;12,609389313689437;11,978919848004963;11,379973855604717;1,2294154580847212;11,576870362925952;0,0;11,576870362925952;7,786531283644046;3,6;3,6;0,0;1;52,8;100,0;16,864616786353974;16,77463879330347;5,879989069526825
Baja irradiacion;Sin control;89,7241769655812;34,32;30,27941575111675;59,44476121446444;4,04058424888325;0,0;0,0;0,0;0,0;12,917354371960846;0,23873025386847627;12,67862411809237;6,89415141961326;3,6;3,6;0,0;1;30,27941575111675;88,22673587155231;0,0;0,0;0,0
Baja irradiacion;Reglas;89,7241769655812;34,32;30,27941575111675;55,79813392984731;0,0;4,04058424888325;3,8385550364390872;3,6466272846171317;0,39395696426611704;12,036862041987513;0,0;12,036862041987513;6,89415141961326;3,6;3,6;0,0;1;34,32;100,0;6,134480499401541;5,061764353350174;0,0
Baja irradiacion;Reglas + decision avanzada;89,7241769655812;34,32;30,27941575111675;55,79813392984731;0,0;4,04058424888325;3,8385550364390872;3,6466272846171317;0,39395696426611704;12,036862041987513;0,0;12,036862041987513;6,89415141961326;3,6;3,6;0,0;1;34,32;100,0;6,134480499401541;5,061764353350174;0,0
Precios elevados;Sin control;89,7241769655812;52,8;34,89217557192547;54,83200139365572;17,90782442807453;0,0;0,0;0,0;0,0;14,885912665915281;1,410050697721285;13,475861968193996;6,89415141961326;3,6;3,6;0,0;1;34,89217557192547;66,08366585591946;0,0;0,0;0,0
Precios elevados;Reglas;89,7241769655812;52,8;34,89217557192547;41,15200139365572;2,7499296912324227;15,157894736842106;14,4;13,68;1,4778947368421067;10,099121960168347;0,23921596206888782;9,859905998099459;5,30319093943201;3,6;3,6;0,0;1;50,05007030876757;94,79179982721132;24,94893429438603;26,832836212102723;23,076958763265708
Precios elevados;Reglas + decision avanzada;89,7241769655812;52,8;34,89217557192547;41,15200139365572;2,7499296912324227;15,157894736842106;14,4;13,68;1,4778947368421067;10,099121960168347;0,23921596206888782;9,859905998099459;5,30319093943201;3,6;3,6;0,0;1;50,05007030876757;94,79179982721132;24,94893429438603;26,832836212102723;23,076958763265708
Bateria ampliada;Sin control;89,7241769655812;52,8;34,89217557192547;54,83200139365572;17,90782442807453;0,0;0,0;0,0;0,0;11,908730132732225;1,1280405581770279;10,780689574555197;6,89415141961326;5,4;5,4;0,0;1;34,89217557192547;66,08366585591946;0,0;0,0;0,0
Bateria ampliada;Reglas;89,7241769655812;52,8;34,89217557192547;38,67018984731846;0,0;17,90782442807453;17,012433206670803;16,161811546337262;1,746012881737268;7,364621406205969;0,0;7,364621406205969;5,30319093943201;5,4;5,4;0,0;1;52,8;100,0;29,4751443236709;31,68691710047845;23,076958763265708
Bateria ampliada;Reglas + decision avanzada;89,7241769655812;52,8;34,89217557192547;38,67018984731846;0,0;17,90782442807453;17,012433206670803;16,161811546337262;1,746012881737268;7,364621406205969;0,0;7,364621406205969;5,30319093943201;5,4;5,4;0,0;1;52,8;100,0;29,4751443236709;31,68691710047845;23,076958763265708
Estres combinado;Sin control;107,66901235869743;39,6;35,610119472672004;72,05889288602542;3,9898805273279954;0,0;0,0;0,0;0,0;18,77765489907191;0,2814678069499224;18,496187092121986;8,272981703535912;3,6;3,6;0,0;1;35,610119472672004;89,9245441229091;0,0;0,0;0,0
Estres combinado;Reglas;107,66901235869743;39,6;35,610119472672004;68,45802571011191;0,0;3,9898805273279954;3,7903865009615956;3,600867175913515;0,3890133514144797;17,85822499606023;0,0;17,85822499606023;8,272981703535912;3,6;3,6;0,0;1;39,6;100,0;4,997116985420454;3,449154644058941;0,0
Estres combinado;Reglas + decision avanzada;107,66901235869743;39,6;35,610119472672004;68,45802571011191;0,0;3,9898805273279954;3,7903865009615956;3,600867175913515;0,3890133514144796;17,762729414100285;0,0;17,762729414100285;8,272981703535912;3,6;3,6;0,0;1;39,6;100,0;4,997116985420454;3,9654533897643134;0,0
